date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
1981-01-01,1,900611,NP01,946.0,5.566596,3.6887949,,,,,121.61175,,,final
1981-01-11,1,900611,NP01,946.0,2.860465,4.411769,,,,,83.5174,,,final
1981-01-21,1,900611,NP01,946.0,12.848837,5.776603,21.275898,13.877167,,,165.62581,139.19408,,final
1981-02-01,1,900611,NP01,946.0,3.2209303,4.249824,18.930233,14.438196,,,88.8766,123.10933,,final
1981-02-11,1,900611,NP01,946.0,2.194503,6.323256,18.26427,16.349684,,,63.537407,108.96776,,final
1981-02-21,1,900611,NP01,946.0,3.0708246,4.1821003,8.486258,14.755179,,,87.89737,68.26694,,final
1981-03-01,1,900611,NP01,946.0,7.2727275,8.692953,12.538055,19.198309,,,89.62806,72.47637,,final
1981-03-11,1,900611,NP01,946.0,11.760042,9.604299,22.103594,22.479351,,,114.76102,98.63258,,final
1981-03-21,1,900611,NP01,946.0,23.147991,14.596618,42.180763,32.893867,71.94292,61.526215,143.63698,124.50765,115.65804,final
1981-04-01,1,900611,NP01,946.0,11.364694,19.707682,46.272728,43.908596,77.74102,77.545105,66.233215,104.83378,100.23734,final
1981-04-11,1,900611,NP01,946.0,21.861523,19.132627,56.374207,53.436928,96.74208,92.26596,111.30791,105.02641,104.601944,final
1981-04-21,1,900611,NP01,946.0,62.366806,22.579634,95.59302,61.419945,146.26004,109.06899,244.26288,151.45001,132.60399,final
1981-05-01,1,900611,NP01,946.0,68.02537,40.198025,152.2537,81.910286,211.06448,145.0172,161.56761,180.93796,144.02649,final
1981-05-11,1,900611,NP01,946.0,52.30444,35.41043,182.69662,98.18809,261.1744,174.10437,141.80606,181.89757,148.61414,final
1981-05-21,1,900611,NP01,946.0,56.453487,55.753628,176.7833,131.36209,314.5571,225.6759,101.15197,133.30925,138.53076,final
1981-06-01,1,900611,NP01,946.0,55.65328,66.56783,164.41121,157.73189,362.93765,283.55078,84.74936,104.10449,127.512276,final
1981-06-11,1,900611,NP01,946.0,78.81184,88.99954,190.91861,211.321,429.98944,362.946,89.161964,90.56847,118.22099,final
1981-06-21,1,900611,NP01,946.0,147.78012,106.00733,282.24524,261.5747,554.6216,454.35672,137.63065,107.75412,121.82723,final
1981-07-01,1,900611,NP01,946.0,153.08562,133.93697,379.67755,328.94385,696.34247,568.586,113.782265,115.19228,122.27329,final
1981-07-11,1,900611,NP01,946.0,76.52537,134.6153,377.39108,374.55957,751.0064,684.06866,58.392864,100.746,109.71423,final
1981-07-21,1,900611,NP01,946.0,333.3943,160.01353,563.00525,428.5658,1022.0338,821.50256,205.07062,131.00784,124.262634,final
1981-08-01,1,900611,NP01,946.0,124.93446,122.17689,534.8541,416.80573,1078.943,903.48145,102.1683,127.98644,119.31372,final
1981-08-11,1,900611,NP01,946.0,156.15962,120.817444,614.48834,403.00787,1182.7982,988.8884,128.09004,151.83244,119.51022,final
1981-08-21,1,900611,NP01,946.0,97.036995,123.0573,378.13107,366.05164,1223.3816,1056.1921,79.68073,103.25546,115.75487,final
